
--- START: bits=26 | Direct Limit=134217728 | Joux Levels=12 ---
Algorithm Pair       | Combination       |   Dir Iter |  Joux Iter |    Ratio
Sha256PlusFeistel | RobustInteraction |   33554432 |      68577 |   489.30x
FeistelPlusSha256 | Concatenation |    7554575 |      73139 |   103.29x
FeistelPlusSha256 | XorSum |       5454 |       4120 |     1.32x
FeistelPlusSha256 | HashThenHash |       4888 |      51698 |     0.09x
FeistelPlusSha256 | Interacting |   33554432 |      69046 |   485.97x
FeistelPlusSha256 | WidePipe |       5321 |      69046 |     0.08x
FeistelPlusSha256 | RobustInteraction |    2429009 |      73139 |    33.21x

--- START: bits=24 | Direct Limit=83886080 | Joux Levels=12 ---
Algorithm Pair       | Combination       |   Dir Iter |  Joux Iter |    Ratio
StandardSha256 | Concatenation |   33398056 |      68577 |   487.02x
StandardSha256 | XorSum |       5096 |       4120 |     1.24x
StandardSha256 | HashThenHash |       3970 |      60831 |     0.07x
StandardSha256 | Interacting |   33167730 |      64484 |   514.36x
StandardSha256 | WidePipe |       2955 |      64484 |     0.05x
StandardSha256 | RobustInteraction |   13689398 |      68577 |   199.62x
CustomFeistel | Concatenation |   15125674 |      73139 |   206.81x
CustomFeistel | XorSum |       5598 |       4120 |     1.36x
CustomFeistel | HashThenHash |       2652 |      71673 |     0.04x
CustomFeistel | Interacting |    6448915 |      69046 |    93.40x
CustomFeistel | WidePipe |       5321 |      69046 |     0.08x
CustomFeistel | RobustInteraction |    2870506 |      73139 |    39.25x
Sha256PlusFeistel | Concatenation |   14776259 |      68577 |   215.47x
Sha256PlusFeistel | XorSum |      14909 |       4120 |     3.62x
Sha256PlusFeistel | HashThenHash |      12020 |      76739 |     0.16x
Sha256PlusFeistel | Interacting |   11909323 |      64484 |   184.69x
Sha256PlusFeistel | WidePipe |       2955 |      64484 |     0.05x
Sha256PlusFeistel | RobustInteraction |   20565894 |      68577 |   299.89x
FeistelPlusSha256 | Concatenation |    7554575 |      73139 |   103.29x
FeistelPlusSha256 | XorSum |       5454 |       4120 |     1.32x
FeistelPlusSha256 | HashThenHash |       4888 |      51698 |     0.09x
FeistelPlusSha256 | Interacting |   32216104 |      69046 |   466.59x
FeistelPlusSha256 | WidePipe |       5321 |      69046 |     0.08x
FeistelPlusSha256 | RobustInteraction |    2429009 |      73139 |    33.21x

--- START: bits=26 | Direct Limit=335544320 | Joux Levels=13 ---
Algorithm Pair       | Combination       |   Dir Iter |  Joux Iter |    Ratio
StandardSha256 | Concatenation |   89646710 |     141347 |   634.23x
StandardSha256 | XorSum |       5096 |       8218 |     0.62x
StandardSha256 | HashThenHash |       6523 |     133318 |     0.05x
StandardSha256 | Interacting |  132397776 |     133158 |   994.29x
StandardSha256 | WidePipe |       4079 |     133158 |     0.03x
StandardSha256 | RobustInteraction |  104931374 |     141347 |   742.37x
CustomFeistel | Concatenation |   50449764 |     168518 |   299.37x
CustomFeistel | XorSum |       6115 |       8218 |     0.74x
CustomFeistel | HashThenHash |       7836 |     149940 |     0.05x
CustomFeistel | Interacting |   36148916 |     160329 |   225.47x
CustomFeistel | WidePipe |      20863 |     160329 |     0.13x
CustomFeistel | RobustInteraction |   45376228 |     168518 |   269.27x
Sha256PlusFeistel | Concatenation |   90494168 |     141347 |   640.23x
Sha256PlusFeistel | XorSum |      14909 |       8218 |     1.81x
Sha256PlusFeistel | HashThenHash |      12569 |     129648 |     0.10x
Sha256PlusFeistel | Interacting |   68360266 |     133158 |   513.38x
Sha256PlusFeistel | WidePipe |       4079 |     133158 |     0.03x
Sha256PlusFeistel | RobustInteraction |   35845071 |     141347 |   253.60x
FeistelPlusSha256 | Concatenation |   89792663 |     168518 |   532.84x
FeistelPlusSha256 | XorSum |      11004 |       8218 |     1.34x
FeistelPlusSha256 | HashThenHash |       8026 |     118006 |     0.07x
FeistelPlusSha256 | Interacting |   60120154 |     160329 |   374.98x
FeistelPlusSha256 | WidePipe |      20863 |     160329 |     0.13x
FeistelPlusSha256 | RobustInteraction |   86904534 |     168518 |   515.70x

--- TEST ROUND: bits=14 | Direct Limit=81920 | Joux Levels=10 ---
Algorithm Pair       | Combination       |   Dir Iter |  Joux Iter |    Ratio
StandardSha256 | Concatenation |      38058 |       2741 |    13.88x
StandardSha256 | XorSum |        233 |       1044 |     0.22x
StandardSha256 | HashThenHash |        204 |       1691 |     0.12x
StandardSha256 | Interacting |      40484 |       1720 |    23.54x
StandardSha256 | WidePipe |        280 |       1720 |     0.16x
StandardSha256 | RobustInteraction |      12733 |       2741 |     4.65x
CustomFeistel | Concatenation |       6440 |       2630 |     2.45x
CustomFeistel | XorSum |         47 |       1044 |     0.05x
CustomFeistel | HashThenHash |        180 |       1412 |     0.13x
CustomFeistel | Interacting |       7329 |       1609 |     4.56x
CustomFeistel | WidePipe |        178 |       1609 |     0.11x
CustomFeistel | RobustInteraction |       4586 |       2630 |     1.74x
Sha256PlusFeistel | Concatenation |      22061 |       2741 |     8.05x
Sha256PlusFeistel | XorSum |        100 |       1044 |     0.10x
Sha256PlusFeistel | HashThenHash |        169 |       1985 |     0.09x
Sha256PlusFeistel | Interacting |      11022 |       1720 |     6.41x
Sha256PlusFeistel | WidePipe |        280 |       1720 |     0.16x
Sha256PlusFeistel | RobustInteraction |      20951 |       2741 |     7.64x
FeistelPlusSha256 | Concatenation |      11978 |       2630 |     4.55x
FeistelPlusSha256 | XorSum |        101 |       1044 |     0.10x
FeistelPlusSha256 | HashThenHash |         75 |       1537 |     0.05x
FeistelPlusSha256 | Interacting |       1474 |       1609 |     0.92x
FeistelPlusSha256 | WidePipe |        178 |       1609 |     0.11x
FeistelPlusSha256 | RobustInteraction |      28326 |       2630 |    10.77x
--- END OF ROUND bits=14 ---


--- TEST ROUND: bits=16 | Direct Limit=327680 | Joux Levels=10 ---
Algorithm Pair       | Combination       |   Dir Iter |  Joux Iter |    Ratio
StandardSha256 | Concatenation |      79267 |       4324 |    18.33x
StandardSha256 | XorSum |        413 |       1044 |     0.40x
StandardSha256 | HashThenHash |        204 |       2408 |     0.08x
StandardSha256 | Interacting |      74841 |       3303 |    22.66x
StandardSha256 | WidePipe |        280 |       3303 |     0.08x
StandardSha256 | RobustInteraction |      68011 |       4324 |    15.73x
CustomFeistel | Concatenation |      65544 |       4249 |    15.43x
CustomFeistel | XorSum |        139 |       1044 |     0.13x
CustomFeistel | HashThenHash |        180 |       3987 |     0.05x
CustomFeistel | Interacting |      28378 |       3228 |     8.79x
CustomFeistel | WidePipe |        178 |       3228 |     0.06x
CustomFeistel | RobustInteraction |      10231 |       4249 |     2.41x
Sha256PlusFeistel | Concatenation |      89885 |       4324 |    20.79x
Sha256PlusFeistel | XorSum |        973 |       1044 |     0.93x
Sha256PlusFeistel | HashThenHash |        169 |       2583 |     0.07x
Sha256PlusFeistel | Interacting |      60843 |       3303 |    18.42x
Sha256PlusFeistel | WidePipe |        280 |       3303 |     0.08x
Sha256PlusFeistel | RobustInteraction |      58779 |       4324 |    13.59x
FeistelPlusSha256 | Concatenation |      34227 |       4249 |     8.06x
FeistelPlusSha256 | XorSum |        411 |       1044 |     0.39x
FeistelPlusSha256 | HashThenHash |        347 |       4019 |     0.09x
FeistelPlusSha256 | Interacting |      78983 |       3228 |    24.47x
FeistelPlusSha256 | WidePipe |        178 |       3228 |     0.06x
FeistelPlusSha256 | RobustInteraction |     134345 |       4249 |    31.62x
--- END OF ROUND bits=16 ---


--- TEST ROUND: bits=18 | Direct Limit=1310720 | Joux Levels=10 ---
Algorithm Pair       | Combination       |   Dir Iter |  Joux Iter |    Ratio
StandardSha256 | Concatenation |     130474 |       5467 |    23.87x
StandardSha256 | XorSum |        717 |       1044 |     0.69x
StandardSha256 | HashThenHash |        204 |       3979 |     0.05x
StandardSha256 | Interacting |     512213 |       4446 |   115.21x
StandardSha256 | WidePipe |        409 |       4446 |     0.09x
StandardSha256 | RobustInteraction |     327724 |       5467 |    59.95x
CustomFeistel | Concatenation |      82535 |      10587 |     7.80x
CustomFeistel | XorSum |        139 |       1044 |     0.13x
CustomFeistel | HashThenHash |        180 |       5782 |     0.03x
CustomFeistel | Interacting |     159571 |       9566 |    16.68x
CustomFeistel | WidePipe |        503 |       9566 |     0.05x
CustomFeistel | RobustInteraction |      94336 |      10587 |     8.91x
Sha256PlusFeistel | Concatenation |     119479 |       5467 |    21.85x
Sha256PlusFeistel | XorSum |       1003 |       1044 |     0.96x
Sha256PlusFeistel | HashThenHash |        694 |       7160 |     0.10x
Sha256PlusFeistel | Interacting |      79740 |       4446 |    17.94x
Sha256PlusFeistel | WidePipe |        409 |       4446 |     0.09x
Sha256PlusFeistel | RobustInteraction |     541470 |       5467 |    99.04x
FeistelPlusSha256 | Concatenation |     165305 |      10587 |    15.61x
FeistelPlusSha256 | XorSum |        411 |       1044 |     0.39x
FeistelPlusSha256 | HashThenHash |        347 |       5926 |     0.06x
FeistelPlusSha256 | Interacting |     238792 |       9566 |    24.96x
FeistelPlusSha256 | WidePipe |        503 |       9566 |     0.05x
FeistelPlusSha256 | RobustInteraction |     421758 |      10587 |    39.84x
--- END OF ROUND bits=18 ---


--- TEST ROUND: bits=20 | Direct Limit=5242880 | Joux Levels=10 ---
Algorithm Pair       | Combination       |   Dir Iter |  Joux Iter |    Ratio
